time_elapsed,replicate_1,replicate_2,replicate_3,replicate_4,replicate_5,replicate_6,replicate_7,replicate_8,replicate_9,replicate_10,replicate_11,replicate_12,time_elapsed.1,replicate_13,replicate_14,replicate_15
"(300, 310]",0.51752423564504,0.25302013422818825,0.23322147651006717,0.7540268456375852,0.21979865771812138,0.25402684563758404,0.23892617449664402,0.3322147651006709,0.002013422818791946,0.005033557046979866,0.1560402684563759,0.20402684563758428,0.06442953020134226,0.5151006711409387,0.4906040268456375,0.6697986577181213
"(310, 320]",0.7238944630248948,0.7120401337792649,0.6993311036789294,0.7337792642140477,0.8006688963210704,0.6585284280936462,0.6056856187290961,0.655183946488294,0.3170568561872908,0.30401337792642114,0.5655518394648825,0.36187290969899666,0.1605351170568561,0.7488294314381269,0.7190635451505013,0.7979933110367893
"(320, 330]",0.7774049217002202,0.6614093959731543,0.7573825503355693,0.7681208053691276,0.8036912751677856,0.7979865771812094,0.6124161073825494,0.7812080536912749,0.5530201342281879,0.4036912751677849,0.7285234899328867,0.6130872483221471,0.5892617449664421,0.6627516778523479,0.7144295302013406,0.7771812080536916
"(330, 340]",0.7300521998508548,0.6661073825503346,0.6942953020134209,0.6677852348993282,0.7842281879194637,0.8043624161073849,0.5979865771812074,0.6848993288590596,0.4191275167785239,0.49630872483221394,0.6892617449664425,0.6859060402684559,0.6882550335570469,0.643624161073825,0.6355704697986563,0.7704697986577195
"(340, 350]",0.7937569676700085,0.5946488294314363,0.7123745819397996,0.6270903010033437,0.7297658862876256,0.7849498327759201,0.6652173913043484,0.7050167224080256,0.5662207357859534,0.46789297658862833,0.5006688963210708,0.6120401337792635,0.7230769230769221,0.7755852842809354,0.5809364548494979,0.6956521739130432
"(350, 360]",0.7322893363161789,0.6828859060402693,0.68456375838926,0.6942953020134212,0.6580536912751673,0.6832214765100658,0.6197986577181215,0.7265100671140945,0.7526845637583889,0.678187919463087,0.5939597315436237,0.5389261744966435,0.6714765100671132,0.7271812080536902,0.6426174496644296,0.622818791946307
"(360, 370]",0.7168338907469322,0.7647651006711408,0.5845637583892609,0.681208053691274,0.7721476510067121,0.7412751677852358,0.6338926174496636,0.636577181208054,0.7258389261744977,0.6644295302013417,0.6177852348993285,0.6318791946308724,0.6862416107382551,0.6406040268456364,0.5892617449664415,0.6879194630872479
"(370, 380]",0.7964205816554788,0.6959866220735776,0.5598662207357848,0.6177257525083604,0.7334448160535116,0.7535117056856179,0.7555183946488303,0.7812709030100341,0.7762541806020069,0.7183946488294309,0.6140468227424742,0.6545150501672227,0.5334448160535112,0.5257525083612035,0.7187290969899677,0.7418060200668894
"(380, 390]",0.7669649515287067,0.6932885906040268,0.6285234899328854,0.6714765100671132,0.6557046979865767,0.7848993288590608,0.7946308724832214,0.6892617449664424,0.6926174496644292,0.704362416107382,0.6355704697986565,0.5996644295302005,0.5453020134228184,0.7154362416107385,0.6117449664429527,0.6073825503355704
"(390, 400]",0.6767001114827171,0.7882943143812714,0.6076923076923078,0.7441471571906362,0.7190635451505024,0.7612040133779266,0.8123745819398004,0.6946488294314381,0.8391304347826102,0.7428093645484938,0.5725752508361205,0.6678929765886286,0.5471571906354509,0.6739130434782602,0.6086956521739119,0.7110367892976575
"(400, 410]",0.6457867263236368,0.7338926174496662,0.6966442953020126,0.7436241610738255,0.6130872483221466,0.7600671140939609,0.8097315436241622,0.773489932885907,0.7593959731543626,0.81275167785235,0.6402684563758386,0.656375838926173,0.5785234899328863,0.722818791946309,0.7248322147651,0.6090604026845632
"(410, 420]",0.7759134973900037,0.8023489932885907,0.6389261744966435,0.7086956521739122,0.7093645484949831,0.7665551839464886,0.8581939799331135,0.6842809364548484,0.7248322147650995,0.7620805369127512,0.6438127090301002,0.6352348993288583,0.6394648829431423,0.7090301003344478,0.7247491638795972,0.7036912751677857
"(420, 430]",0.6796729840208074,0.8247491638796,0.6200668896321063,0.7057046979865772,0.7644295302013423,0.733221476510067,0.7949664429530212,0.6607382550335562,0.7602006688963218,0.7719063545150511,0.6600671140939594,0.5364548494983274,0.6701342281879196,0.6446308724832203,0.6406040268456372,0.6946488294314374
"(430, 440]",0.7542878448918682,0.7879194630872487,0.6258389261744955,0.6973154362416115,0.5828859060402688,0.6989932885906041,0.8167785234899343,0.7224832214765087,0.7687919463087262,0.7127516778523486,0.6244966442953,0.6134228187919453,0.675167785234899,0.612751677852348,0.6731543624161079,0.7332214765100675
