Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity,Replicate 10 Percent Group Activity,Replicate 11 Percent Group Activity,Replicate 12 Percent Group Activity,Replicate 13 Percent Group Activity,Replicate 14 Percent Group Activity,Replicate 15 Percent Group Activity
"(270, 280]",0.0036912751677852353,0.0010067114093959733,0.031543624161073806,0.021812080536912744,0.017449664429530196,0.06333892617449664,0.0073825503355704715,0.0010067114093959733,0.11778523489932907,0.03456375838926169,0.0476510067114093,0.14496644295302044,0.0644295302013423,0.0,0.06450410141685295
"(280, 290]",0.01906354515050166,0.011371237458193982,0.03043478260869565,0.004013377926421404,0.060535117056856165,0.002508361204013378,0.0,0.0016722408026755853,0.04013377926421398,0.038127090301003266,0.0341137123745819,0.06555183946488291,0.06622073578595312,0.0,0.07506503158677055
"(290, 300]",0.043288590604026754,0.1120805369127516,0.002013422818791946,0.026510067114093958,0.03355704697986571,0.0041946308724832215,0.015436241610738253,0.0046979865771812086,0.10067114093959752,0.0016778523489932886,0.03791946308724825,0.0701342281879195,0.21912751677852352,0.021625652498135715,0.1047725577926919
"(300, 310]",0.31510067114093965,0.05536912751677848,0.12986577181208056,0.11275167785234898,0.05268456375838917,0.03523489932885906,0.2238255033557046,0.2718120805369127,0.11979865771812075,0.027852348993288544,0.019798657718120796,0.5241610738255029,0.8402684563758406,0.6543624161073802,0.6703952274422057
"(310, 320]",0.7167224080267559,0.19096989966555167,0.583612040133779,0.4140468227424749,0.2117056856187291,0.1931438127090301,0.5096989966555179,0.5468227424749155,0.5939799331103675,0.1454849498327759,0.12976588628762536,0.7150501672240799,0.8140468227424756,0.6863619472315102,0.8160535117056825
"(320, 330]",0.7033557046979858,0.6637583892617445,0.6124161073825495,0.506375838926174,0.8298657718120819,0.613255033557047,0.6137583892617448,0.7369127516778521,0.6744966442953014,0.7258389261744973,0.488590604026846,0.7741610738255031,0.7674496644295301,0.7546607009694232,0.8721103653989538
"(330, 340]",0.6815436241610732,0.7104026845637589,0.6567114093959716,0.5634228187919454,0.8221476510067125,0.6795302013422819,0.5838926174496639,0.7127516778523478,0.6939597315436243,0.7765100671140951,0.6164429530201347,0.832550335570471,0.8409395973154387,0.7334079045488414,0.8478747203579389
"(340, 350]",0.7525083612040141,0.7357859531772568,0.6224080267558525,0.580267558528428,0.8548494983277608,0.717391304347826,0.5735785953177256,0.6642140468227417,0.7100334448160529,0.7193979933110362,0.6628762541806018,0.7799331103678931,0.7478260869565223,0.6882199925678164,0.7595689334819737
"(350, 360]",0.7577181208053692,0.6275167785234897,0.6402684563758378,0.56241610738255,0.7781879194630874,0.6484899328859061,0.5661073825503354,0.7238255033557037,0.6244966442953016,0.754026845637584,0.5895973154362417,0.7808724832214774,0.6996644295302006,0.7897091722595053,0.723713646532436
"(360, 370]",0.7422818791946315,0.7020134228187922,0.7432885906040271,0.611073825503355,0.7406040268456373,0.6648489932885906,0.5788590604026846,0.6963087248322143,0.6667785234899326,0.6795302013422803,0.520805369127517,0.7889261744966458,0.8255033557047001,0.6726323639075303,0.847501864280386
"(370, 380]",0.769565217391305,0.6919732441471576,0.8140468227424769,0.6244147157190633,0.8224080267558548,0.6743311036789298,0.5123745819397983,0.7441471571906357,0.6913043478260859,0.6839464882943151,0.524080267558528,0.7575250836120415,0.8093645484949835,0.593831289483463,0.8086213303604578
"(380, 390]",0.7946308724832225,0.743288590604026,0.7741610738255037,0.5634228187919452,0.7848993288590613,0.7445469798657718,0.438255033557047,0.8130872483221491,0.656040268456376,0.6885906040268451,0.6305369127516766,0.8117449664429542,0.7869127516778526,0.6689038031319885,0.784489187173748
"(390, 400]",0.7966555183946489,0.6816053511705682,0.7983277591973245,0.6755852842809361,0.809364548494984,0.6806020066889632,0.5458193979933109,0.7765886287625429,0.6571906354515051,0.6622073578595309,0.5775919732441461,0.7862876254180613,0.8260869565217411,0.7034559643255278,0.8409513192121869
"(400, 410]",0.8818791946308744,0.6543624161073822,0.7171140939597311,0.6926174496644286,0.8442953020134246,0.6908557046979866,0.5177852348993282,0.8295302013422834,0.6684563758389249,0.7268456375838918,0.4734899328859067,0.7865771812080544,0.7637583892617463,0.6797166293810567,0.7591349739000718
"(410, 420]",0.8130872483221487,0.6184563758389253,0.7580536912751678,0.7177852348993282,0.8318791946308751,0.6195469798657718,0.665436241610737,0.7412751677852364,0.6557046979865774,0.7375838926174496,0.627852348993288,0.7989932885906057,0.8006711409395982,0.6763609246830699,0.8575689783743446
"(420, 430]",0.8267558528428114,0.8481605351170587,0.7856187290969899,0.7488294314381284,0.7505016722408032,0.669314381270903,0.5772575250836112,0.8147157190635466,0.7391304347826104,0.7943143812709035,0.6127090301003323,0.7903010033444815,0.7976588628762549,0.6269044964697122,0.8691936083240419
"(430, 440]",0.8278523489932899,0.7651006711409398,0.7882550335570475,0.7352348993288592,0.7499999999999997,0.7059563758389261,0.6755033557046976,0.8191275167785251,0.7295302013422823,0.7214765100671137,0.5872483221476513,0.8164429530201353,0.7647651006711419,0.6118568232662183,0.7900820283370583
"(440, 450]",0.7956375838926188,0.728187919463086,0.7731543624161082,0.7671140939597313,0.7778523489932897,0.6719798657718121,0.6197986577181208,0.7909395973154366,0.7546979865771819,0.7671140939597322,0.660067114093959,0.839932885906042,0.8291946308724847,0.7039522744220712,0.7755406413124515
"(450, 460]",0.8280936454849515,0.7508361204013374,0.7712374581939802,0.8076923076923093,0.818060200668897,0.6254180602006689,0.7481605351170574,0.8076923076923088,0.7896321070234127,0.7551839464882957,0.6371237458193963,0.813043478260871,0.7722408026755844,0.6937941285767345,0.8145670754366372
"(460, 470]",0.7942953020134245,0.6781879194630861,0.7909395973154375,0.747986577181209,0.8476510067114116,0.7281879194630873,0.6459731543624159,0.7822147651006714,0.7567114093959737,0.6895973154362424,0.605369127516778,0.7543624161073818,0.829530201342284,0.667412378821773,0.7759134973900038
"(470, 480]",0.7469798657718123,0.687583892617448,0.8127516778523488,0.7932885906040283,0.772147651006713,0.6891778523489933,0.7060402684563752,0.7744966442953022,0.7140939597315441,0.7355704697986569,0.6627516778523479,0.7325503355704699,0.8070469798657728,0.692393736017895,0.7352721849366123
"(480, 490]",0.728428093645485,0.7963210702341151,0.8538461538461561,0.7795986622073579,0.8120401337792647,0.6835284280936454,0.6989966555183925,0.7996655518394667,0.7267558528428095,0.7147157190635456,0.654515050167224,0.7903010033444828,0.7735785953177258,0.651802303976215,0.7774061687105146
"(490, 500]",0.708389261744967,0.7003355704697981,0.7946308724832225,0.8120805369127537,0.8013422818791961,0.7206375838926175,0.7110738255033558,0.8516778523489942,0.7268456375838935,0.6412751677852347,0.7251677852348989,0.8567114093959743,0.8003355704697992,0.6070096942580143,0.8381804623415333
"(500, 510]",0.7600671140939599,0.643288590604026,0.7835570469798676,0.8053691275167796,0.7563758389261743,0.6505872483221476,0.7862416107382552,0.8513422818791965,0.7221476510067112,0.7734899328859067,0.6563758389261745,0.8342281879194651,0.7422818791946308,0.6043997017151365,0.7636092468307203
"(510, 520]",0.7943143812709039,0.6401337792642137,0.8063545150501682,0.8006688963210711,0.7755852842809364,0.7144648829431438,0.7966555183946503,0.8387959866220741,0.6739130434782604,0.6916387959866203,0.6073578595317721,0.7826086956521734,0.7491638795986617,0.6930509104422123,0.8584169453734645
"(520, 530]",0.8026845637583897,0.6959866220735786,0.8622073578595341,0.7959866220735798,0.8406040268456392,0.7177013422818792,0.7426174496644297,0.7715719063545167,0.7228187919463087,0.6342281879194639,0.6432885906040259,0.7828859060402684,0.7624161073825512,0.5891126025354196,0.7598806860551809
"(530, 540]",0.8254180602006703,0.7600671140939599,0.8224832214765121,0.7731543624161076,0.7444816053511711,0.7755016722408027,0.717725752508361,0.8546979865771828,0.7023411371237452,0.6882550335570458,0.6587248322147636,0.7768456375838935,0.7789297658862882,0.6774433296172403,0.7479492915734495
"(540, 550]",0.823154362416109,0.818456375838928,0.8496644295302028,0.7872483221476511,0.8020134228187932,0.75251677852349,0.7325503355704699,0.8842281879194652,0.7506711409395981,0.7528428093645488,0.7073578595317727,0.7732441471571909,0.7097315436241611,0.6845637583892606,0.811965811965809
"(550, 560]",0.7832775919732452,0.7608695652173927,0.772909698996655,0.7996655518394646,0.8367892976588645,0.7311872909698997,0.7130434782608699,0.7735785953177264,0.732885906040268,0.7483221476510072,0.7184563758389251,0.6932885906040255,0.7600671140939605,0.6081282624906788,0.6692766592095425
"(560, 570]",0.8486577181208067,0.7949664429530204,0.7902684563758399,0.847651006711411,0.7875838926174504,0.6954697986577181,0.6882550335570452,0.7416107382550333,0.7551839464882953,0.7484949832775927,0.7093645484949838,0.7377926421404676,0.7491638795986622,0.6298773690078031,0.7324414715719032
"(570, 580]",0.8667785234899347,0.6164429530201332,0.8040268456375841,0.8375838926174507,0.772818791946308,0.7344798657718121,0.655704697986576,0.7372483221476497,0.6828859060402676,0.7208053691275166,0.6852348993288588,0.7382550335570468,0.7775167785234897,0.6174496644295276,0.7803877703206538
"(580, 590]",0.8421404682274254,0.6953177257525095,0.8250836120401348,0.8719063545150524,0.7033444816053496,0.6793478260869565,0.748829431438127,0.8000000000000006,0.7043624161073827,0.7093959731543615,0.6255033557046975,0.6926174496644295,0.7281879194630878,0.6562266964951509,0.8318419090231154
"(590, 600]",0.7771812080536916,0.7802013422818795,0.7842281879194629,0.8255033557046995,0.7238255033557043,0.7021812080536913,0.6664429530201338,0.7520134228187935,0.7842809364548512,0.7050167224080257,0.6287625418060193,0.6458193979933098,0.7869565217391303,0.6228167967298385,0.7800074321813425
"(600, 610]",0.7825503355704703,0.680201342281879,0.7661073825503355,0.8375838926174523,0.7194630872483214,0.6887583892617449,0.6637583892617434,0.8080536912751687,0.7181208053691273,0.7161073825503359,0.7033557046979869,0.7100671140939593,0.7744966442953026,0.6111111111111087,0.7319164802386243
"(610, 620]",0.7872909698996662,0.6916387959866197,0.8284280936454871,0.727759197324414,0.7568561872909709,0.7244983277591973,0.7160535117056862,0.7765100671140944,0.791610738255034,0.6986577181208047,0.6842281879194625,0.7053691275167779,0.6932885906040266,0.5533184190902302,0.7524235645040991
"(620, 630]",0.8365771812080564,0.7617449664429534,0.8030201342281885,0.8164429530201363,0.7973154362416112,0.7705536912751678,0.7308724832214768,0.8267558528428111,0.7137123745819399,0.6943143812709026,0.7180602006688964,0.7494983277591972,0.6695652173913046,0.6789297658862853,0.7866963953920442
"(630, 640]",0.804347826086956,0.71705685618729,0.7153846153846164,0.761538461538463,0.7555183946488303,0.7069397993311036,0.7257525083612039,0.7819397993311044,0.7708053691275172,0.7248322147651004,0.6563758389261737,0.775503355704699,0.6979865771812083,0.7542878448918682,0.7483221476510032
"(640, 650]",0.7835570469798666,0.7506711409395973,0.7238255033557054,0.8090604026845643,0.7100671140939601,0.7051174496644296,0.6942953020134225,0.8308724832214784,0.5832214765100661,0.7610738255033551,0.6916107382550329,0.7261744966442956,0.7570469798657729,0.598434004474271,0.8124533929903033
"(650, 660]",0.748322147651007,0.6691275167785238,0.8070469798657736,0.8251677852349009,0.7473154362416107,0.6984060402684564,0.743959731543623,0.8369127516778537,0.6869565217391295,0.5799331103678926,0.6739130434782605,0.7705685618729099,0.7461538461538453,0.6399108138238548,0.6748420661464113
"(660, 670]",0.7207357859531761,0.6063545150501664,0.7357859531772574,0.8227424749163902,0.7705685618729098,0.7090301003344481,0.7685618729096984,0.8214046822742499,0.785906040268457,0.7087248322147648,0.7359060402684557,0.7164383561643839,0.635234899328858,0.6994780014914219,0.8094705443698714
"(670, 680]",0.7966442953020144,0.5949664429530199,0.6634228187919463,0.8577181208053697,0.6912751677852346,0.7046979865771812,0.6869127516778509,0.813422818791947,0.7234113712374576,0.6382550335570465,0.7640939597315431,0.7197952218430032,0.6845637583892633,0.6196868008948545,0.7576435495898556
"(680, 690]",0.7701342281879204,0.6614093959731537,0.6862416107382546,0.8291946308724847,0.7140939597315431,0.7579697986577181,0.7040268456375838,0.8187919463087266,0.7644295302013421,0.6484949832775917,0.6618729096989961,0.6983277591973249,0.7274247491638796,0.5800817539947966,0.672240802675583
